Province,District,MOH/QC/Camp,"Date of last positive
case","Cases from 4th
October 2020"
Central,Kandy,SWISS HOTEL,27/03/2021,5
Central,Kandy,GALKANDA QC,16/05/2021,14
Central,Kandy,JETWING - KANDY,19/03/2021,1
Central,Kandy,KANDY TOURMALINE HOTEL,22/03/2021,1
Central,Kandy,THILANKA HOTEL,2/5/2021,9
Central,Kandy,QC ABEYWARDANE HALL,7/5/2021,18
Central,Kandy,QC GALLALLA,30/04/2021,36
Central,Kandy,SENANI HOTEL - KANDY,26/04/2021,1
Central,Kandy,QC POLGOLLA,31/05/2021,57
Central,Matale,AmbangagaKorale,31/05/2021,111
Central,Matale,Dambulla,31/05/2021,506
Central,Matale,Dambulla MC,31/05/2021,374
Central,Matale,Galewela,31/05/2021,398
Central,Matale,LaggalaPallegama,31/05/2021,63
Central,Matale,Matale,31/05/2021,701
Central,Matale,Matale - MC,30/05/2021,175
Central,Matale,Naula,31/05/2021,243
Central,Matale,Pallepola,31/05/2021,152
Central,Matale,Rattota,30/05/2021,341
Central,Matale,Ukuwela,31/05/2021,650
Central,Matale,Wilgamuwa,31/05/2021,80
Central,Matale,Yatawatta,31/05/2021,145
Central,Matale,"ALIYA RESORT -
SIGIRIYA",12/4/2021,20
Central,Matale,QC DAMBULLA,20/02/2021,7
Central,Matale,QC SIGIRI VILLEGE,9/4/2021,14
Central,Matale,GREEN PARADISE HOTEL - DAMBULLA,20/05/2021,7
Central,Matale,"CAMALLIA RESORT & SPA
- SIGIRIYA",6/3/2021,3
Central,Matale,SIGIRIYA JUNGLE HOTEL,4/5/2021,13
Central,Matale,"FRESCO WATER VILLA –
SIGIRIYA",14/05/2021,4
Central,Matale,KASSAPA LIONS ROCK,6/5/2021,6
Central,Matale,"SIGIRIYANA RESORT BY
THILANKA",14/04/2021,6
Central,Matale,HOTEL SIGIRIYA,26/04/2021,8
Central,Matale,ACNE GRANDE SIGIRIYA,24/04/2021,2
Central,Matale,QC PELWEHERA,23/05/2021,2
Central,Nuwaraeliya,Ambagamuwa,31/05/2021,877
Central,Nuwaraeliya,Bogawanthalawa,29/05/2021,378
Central,Nuwaraeliya,Hanguranketha,31/05/2021,228
Central,Nuwaraeliya,Kotagala,29/05/2021,189
Central,Nuwaraeliya,Kothmale,29/05/2021,260
